"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT11","WT11_ATTRIBUTES"
"US1CAKN0017","WASCO 0.8 SSW, CA US","35.5831756591797","-119.348342895508","99.1","2013-03-20",,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,
"US1CAKN0017","WASCO 0.8 SSW, CA US","35.5831756591797","-119.348342895508","99.1","2013-03-21",,,,,"0.00","T,,N",,,,,,,,,,,,,,,,,,,,
"US1CAKN0017","WASCO 0.8 SSW, CA US","35.5831756591797","-119.348342895508","99.1","2013-03-22",,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,
"US1CAKN0017","WASCO 0.8 SSW, CA US","35.5831756591797","-119.348342895508","99.1","2013-03-23",,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,
"US1CAKN0017","WASCO 0.8 SSW, CA US","35.5831756591797","-119.348342895508","99.1","2013-03-24",,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,
"US1CAKN0017","WASCO 0.8 SSW, CA US","35.5831756591797","-119.348342895508","99.1","2013-03-25",,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,
"US1CAKN0017","WASCO 0.8 SSW, CA US","35.5831756591797","-119.348342895508","99.1","2013-03-26",,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,
"US1CAKN0017","WASCO 0.8 SSW, CA US","35.5831756591797","-119.348342895508","99.1","2013-03-27",,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,
"US1CAKN0017","WASCO 0.8 SSW, CA US","35.5831756591797","-119.348342895508","99.1","2013-03-28",,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,
"US1CAKN0017","WASCO 0.8 SSW, CA US","35.5831756591797","-119.348342895508","99.1","2013-03-29",,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,
